Starting ACHNN training with 16 CPUs and 1 GPU at Mon Apr 14 02:08:13 AM EDT 2025
Batch 100/1785, Loss: 0.7566
Batch 200/1785, Loss: 0.6944
Batch 300/1785, Loss: 0.7609
Batch 400/1785, Loss: 0.8878
Batch 500/1785, Loss: 0.7564
Batch 600/1785, Loss: 0.7359
Batch 700/1785, Loss: 0.7507
Batch 800/1785, Loss: 0.6866
Batch 900/1785, Loss: 0.7236
Batch 1000/1785, Loss: 0.7280
Batch 1100/1785, Loss: 0.7062
Batch 1200/1785, Loss: 0.7127
Batch 1300/1785, Loss: 0.7192
Batch 1400/1785, Loss: 0.6875
Batch 1500/1785, Loss: 0.7383
Batch 1600/1785, Loss: 0.6921
Batch 1700/1785, Loss: 0.7277
