Starting ACHNN training with 16 CPUs and 1 GPU at Mon Apr 14 02:10:42 AM EDT 2025
Batch 100/1785, Loss: 0.7444
Batch 200/1785, Loss: 0.6992
Batch 300/1785, Loss: 0.7501
Batch 400/1785, Loss: 0.8773
Batch 500/1785, Loss: 0.7588
Batch 600/1785, Loss: 0.7323
Batch 700/1785, Loss: 0.7369
Batch 800/1785, Loss: 0.6888
Batch 900/1785, Loss: 0.7138
Batch 1000/1785, Loss: 0.7224
Batch 1100/1785, Loss: 0.7052
Batch 1200/1785, Loss: 0.6975
Batch 1300/1785, Loss: 0.7111
Batch 1400/1785, Loss: 0.6820
Batch 1500/1785, Loss: 0.7197
Batch 1600/1785, Loss: 0.6947
Batch 1700/1785, Loss: 0.7130
